dataset,method,param,nfr_mean,nfr_std,acc_mean,acc_std
credit-approval,fixed_anchor,2.0,0.07351821470933453,0.06542427055084574,0.8016,0.06341959038376424
credit-approval,fixed_anchor,4.0,0.06974830250084975,0.05476271693283013,0.8016,0.06518895611988275
credit-approval,fixed_anchor,8.0,0.07344275078137753,0.060619149771425344,0.7919999999999999,0.06892185591104043
credit-approval,selective_distill,0.0,0.09339297024056406,0.08126141875050963,0.8088000000000001,0.0656942412493921
credit-approval,selective_distill,0.5,0.09524141202950796,0.08035168899733185,0.808,0.06411101482758029
credit-approval,selective_distill,1.0,0.09387255715756213,0.07941164059593597,0.808,0.06162250671088714
credit-approval,selective_distill,2.0,0.09161303472047118,0.07620951039089113,0.8096,0.05948519890602104
credit-approval,selective_distill,4.0,0.09243949139668238,0.07361458428625031,0.808,0.05619015334854791
credit-approval,selective_distill,8.0,0.08837344690283389,0.0724466431918148,0.8072000000000001,0.05352631751453358
credit-approval,projected_gd,0.0,0.03258104586045678,0.025042157510283644,0.7823999999999999,0.060785963291975
credit-approval,projected_gd,0.005,0.03258104586045678,0.025042157510283644,0.7823999999999999,0.060785963291975
credit-approval,projected_gd,0.01,0.03258104586045678,0.025042157510283644,0.7823999999999999,0.060785963291975
credit-approval,projected_gd,0.015,0.03258104586045678,0.025042157510283644,0.7823999999999999,0.060785963291975
credit-approval,projected_gd,0.02,0.03258104586045678,0.025042157510283644,0.7823999999999999,0.060785963291975
credit-approval,projected_gd,0.025,0.03258104586045678,0.025042157510283644,0.7823999999999999,0.060785963291975
credit-approval,projected_gd,0.03,0.03540211423375746,0.02940400217188299,0.7903999999999999,0.06529794960197617
credit-approval,bcwi,0.0,0.037384892717281494,0.03175814341521769,0.78,0.06380525927469546
credit-approval,bcwi,0.005,0.037384892717281494,0.03175814341521769,0.78,0.06380525927469546
credit-approval,bcwi,0.01,0.037384892717281494,0.03175814341521769,0.78,0.06380525927469546
credit-approval,bcwi,0.015,0.037384892717281494,0.03175814341521769,0.78,0.06380525927469546
credit-approval,bcwi,0.02,0.037384892717281494,0.03175814341521769,0.78,0.06380525927469546
credit-approval,bcwi,0.025,0.037384892717281494,0.03175814341521769,0.78,0.06380525927469546
credit-approval,bcwi,0.03,0.03540469469747951,0.033543465347184935,0.7863999999999999,0.06882376850413752
credit-g,baseline,,0.1009625572668176,0.06130864267189111,0.7138888888888889,0.037060177955906465
