dataset,split,method,model_type,lambda,target_nfr,achieved_nfr,accuracy,pfr
adult,7,fixed_anchor,logreg,8.0,,0.002652519893899204,0.8502405568635479,0.02305084745762712
adult,7,selective_distill,logreg,8.0,,0.004219918013021461,0.8501381922407616,0.031186440677966103
adult,7,projected_gd,logreg,,0.0,0.0,0.8491145460128979,0.0006779661016949153
adult,7,bcwi,logreg,,0.0,0.00024113817217265494,0.8494216398812571,0.004067796610169492
adult,7,projected_gd,logreg,,0.005,0.004219918013021461,0.8501381922407616,0.031186440677966103
adult,7,bcwi,logreg,,0.005,0.005184470701712081,0.8505476507319071,0.03932203389830508
adult,7,projected_gd,logreg,,0.01,0.010248372317337835,0.8510594738458389,0.0711864406779661
adult,7,bcwi,logreg,,0.01,0.006993006993006993,0.8520831200737026,0.059661016949152545
adult,7,projected_gd,logreg,,0.015,0.010610079575596816,0.8527996724332071,0.0847457627118644
adult,7,bcwi,logreg,,0.015,0.006993006993006993,0.8520831200737026,0.059661016949152545
adult,7,projected_gd,logreg,,0.02,0.015432843019049916,0.8498310983724024,0.09220338983050848
adult,7,bcwi,logreg,,0.02,0.006993006993006993,0.8520831200737026,0.059661016949152545
adult,7,projected_gd,logreg,,0.025,0.015432843019049916,0.8498310983724024,0.09220338983050848
adult,7,bcwi,logreg,,0.025,0.006993006993006993,0.8520831200737026,0.059661016949152545
adult,7,projected_gd,logreg,,0.03,0.015432843019049916,0.8498310983724024,0.09220338983050848
adult,7,bcwi,logreg,,0.03,0.006993006993006993,0.8520831200737026,0.059661016949152545
adult,8,baseline,logreg,,,0.01288380493678507,0.8535162247927116,0.09562841530054644
adult,8,confidence_drop,logreg,0.0,,0.014087898856110777,0.8534138601699253,0.10177595628415301
adult,8,fixed_anchor,logreg,0.0,,0.01288380493678507,0.853618589415498,0.09631147540983606
adult,8,selective_distill,logreg,0.0,,0.012763395544852498,0.8531067663015662,0.09221311475409837
adult,8,confidence_drop,logreg,0.5,,0.00951234196267309,0.8545398710205753,0.08333333333333333
adult,8,fixed_anchor,logreg,0.5,,0.0049367850692354,0.8543351417750026,0.056010928961748634
adult,8,selective_distill,logreg,0.5,,0.01119807344972908,0.853618589415498,0.08674863387978142
adult,8,confidence_drop,logreg,1.0,,0.0098735701384708,0.8533114955471389,0.07718579234972678
adult,8,fixed_anchor,logreg,1.0,,0.004575556893437688,0.8530044016787798,0.045081967213114756
adult,8,selective_distill,logreg,1.0,,0.010114388922335942,0.8534138601699253,0.07923497267759563
adult,8,confidence_drop,logreg,2.0,,0.010716435881998797,0.8508547446002661,0.06557377049180328
adult,8,fixed_anchor,logreg,2.0,,0.003732691149909693,0.8521854846964889,0.03483606557377049
adult,8,selective_distill,logreg,2.0,,0.007826610475617099,0.8541304125294298,0.07103825136612021
adult,8,confidence_drop,logreg,4.0,,0.012402167369054787,0.8493192752584706,0.06489071038251366
adult,8,fixed_anchor,logreg,4.0,,0.0030102347983142685,0.8520831200737026,0.030054644808743168
adult,8,selective_distill,logreg,4.0,,0.0057796508127633955,0.8530044016787798,0.05191256830601093
adult,8,confidence_drop,logreg,8.0,,0.013606261288380495,0.8483979936533934,0.06557377049180328
adult,8,fixed_anchor,logreg,8.0,,0.002287778446718844,0.8515712969597707,0.022540983606557378
adult,8,selective_distill,logreg,8.0,,0.0038531005418422637,0.8527996724332071,0.03961748633879782
adult,8,projected_gd,logreg,,0.0,0.00012040939193257074,0.8502405568635479,0.001366120218579235
adult,8,bcwi,logreg,,0.0,0.0025285972305839855,0.8523902139420616,0.029371584699453553
adult,8,projected_gd,logreg,,0.005,0.006140878988561108,0.8531067663015662,0.0546448087431694
adult,8,bcwi,logreg,,0.005,0.0062612883804936785,0.8537209540382844,0.05942622950819672
adult,8,projected_gd,logreg,,0.01,0.012402167369054787,0.8530044016787798,0.08948087431693989
adult,8,bcwi,logreg,,0.01,0.01288380493678507,0.8537209540382844,0.09699453551912568
adult,8,projected_gd,logreg,,0.015,0.014328717639975919,0.8539256832838571,0.10655737704918032
adult,8,bcwi,logreg,,0.015,0.01288380493678507,0.8537209540382844,0.09699453551912568
